recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1311,58,1170,1259,0,3740
1308,67,1202,1522,0,4032
1301,67,1156,1348,1,3805
1283,56,1198,1411,2,3892
1284,58,1162,1239,0,3685
1315,70,1182,1511,1,4008
1300,74,1236,1592,0,4128
1302,63,1178,1360,0,3840
1272,54,1182,1343,0,3797
1301,70,1208,1427,1,3936
1298,63,1140,1204,0,3642
1297,69,1212,1471,0,3980
1319,45,1188,1298,0,3805
1294,75,1178,1465,0,3937
1287,64,1150,1261,1,3698
1295,59,1218,1352,0,3865
1296,60,1218,1412,0,3926
1298,67,1198,1376,0,3872
1310,62,1194,1448,0,3952
1293,67,1190,1400,0,3883
1304,62,1164,1258,0,3726
1302,60,1202,1370,0,3874
1274,56,1150,1275,0,3699
1325,64,1158,1334,0,3817
1282,71,1210,1636,0,4128
1317,68,1138,1289,0,3744
1328,50,1150,1114,0,3592
1314,64,1228,1543,0,4085
1303,55,1140,1173,0,3616
1290,55,1162,1204,0,3656
1296,52,1136,1163,0,3595
1316,60,1144,1281,0,3741
1296,61,1186,1288,0,3770
1311,76,1206,1550,1,4067
1292,67,1166,1384,0,3842
1287,60,1244,1410,1,3941
1282,59,1142,1146,0,3570
1307,54,1184,1217,0,3708
1325,51,1144,1212,0,3681
1290,62,1148,1364,0,3802
1295,66,1200,1356,0,3851
1302,53,1156,1171,0,3629
1302,63,1198,1488,1,3988
1298,60,1140,1190,0,3628
1301,51,1140,1127,0,3568
1302,51,1170,1282,0,3754
1293,48,1186,1243,0,3722
1291,54,1148,1258,0,3697
1314,54,1156,1243,0,3713
1276,62,1176,1285,0,3737
1322,74,1246,1585,0,4153
1345,60,1184,1324,0,3853
1304,70,1148,1409,1,3861
1306,61,1116,1158,0,3580
1290,62,1196,1424,0,3910
1310,61,1180,1447,0,3937
1286,56,1144,1228,0,3658
1303,78,1190,1550,0,4043
1265,70,1168,1424,0,3857
1295,59,1164,1169,0,3628
1280,65,1184,1455,0,3919
1291,61,1194,1317,1,3802
1306,81,1200,1575,0,4081
1279,69,1196,1502,0,3977
1294,56,1148,1318,1,3760
1320,58,1138,1223,0,3681
1285,62,1156,1305,1,3746
1290,78,1230,1455,0,3975
1272,68,1168,1387,1,3827
1306,53,1150,1247,0,3703
1347,74,1190,1603,0,4140
1280,62,1154,1322,0,3756
1296,62,1186,1448,0,3930
1309,74,1208,1657,0,4174
1296,66,1170,1210,0,3676
1298,65,1158,1277,0,3733
1285,48,1162,1330,0,3777
1321,71,1270,1750,2,4341
1305,60,1174,1360,0,3839
1302,57,1190,1281,0,3773
1279,66,1166,1322,0,3767
1308,66,1208,1461,1,3977
1269,71,1266,1717,0,4252
1309,66,1182,1414,0,3905
1308,61,1186,1392,0,3886
1306,63,1192,1246,0,3744
1301,67,1186,1299,0,3786
1300,61,1170,1223,0,3693
1288,63,1182,1371,0,3841
1303,54,1210,1458,0,3971
1306,59,1180,1460,0,3946
1299,61,1188,1344,0,3831
1318,49,1134,1246,0,3698
1288,66,1178,1369,0,3835
1290,55,1148,1124,1,3562
1291,65,1162,1348,0,3801
1284,66,1222,1588,0,4094
1322,63,1172,1335,1,3829
1314,61,1182,1404,0,3900
1292,51,1122,1201,0,3615
1296,64,1210,1558,2,4064
1306,62,1166,1393,0,3865
1297,81,1226,1594,0,4117
1304,58,1176,1414,0,3894
1298,63,1216,1423,0,3937
1295,65,1188,1386,0,3869
1302,66,1124,1280,0,3706
1310,68,1220,1623,1,4153
1269,70,1214,1419,0,3902
1310,63,1222,1494,0,4026
1316,74,1210,1613,0,4139
1314,57,1136,1140,0,3590
1303,59,1194,1412,0,3909
1324,73,1206,1598,0,4128
1306,47,1152,1073,0,3531
1278,68,1174,1395,0,3847
1287,71,1186,1426,0,3899
1298,53,1152,1217,0,3667
1295,64,1190,1459,0,3944
1307,64,1162,1289,0,3758
1309,59,1178,1303,0,3790
1305,59,1168,1242,0,3715
1287,67,1168,1262,0,3717
1297,63,1170,1388,0,3855
1316,64,1152,1220,0,3688
1312,73,1252,1500,0,4064
1330,59,1224,1460,1,4014
1292,57,1154,1262,0,3708
1312,65,1188,1479,0,3979
1320,71,1220,1476,0,4016
1313,67,1278,1683,0,4274
1324,70,1232,1549,0,4105
1282,61,1150,1217,0,3649
1308,66,1168,1261,0,3737
1295,62,1164,1307,0,3766
1314,61,1190,1379,0,3883
1332,69,1208,1545,0,4085
1318,54,1130,1099,0,3547
1311,48,1244,1450,0,4005
1301,59,1178,1381,0,3860
1290,57,1188,1337,0,3815
1308,65,1180,1493,0,3981
1279,67,1244,1469,1,3992
1319,57,1178,1358,0,3855
1291,78,1218,1566,0,4075
1285,67,1192,1445,0,3922
1306,57,1198,1349,0,3853
1296,61,1124,1158,0,3578
