recovery_query,ori_err_cof,query_with_vote,err_cof
1274,73,8974,0
1301,57,9184,0
1293,56,9051,0
1290,73,9226,0
1266,59,8967,0
1308,60,9247,0
1298,62,9184,1
1338,55,9485,0
1305,56,9226,0
1309,57,9338,0
1283,76,9093,0
1295,52,9114,0
1291,81,9163,0
1315,63,9296,1
1303,64,9219,0
1320,67,9240,1
1299,74,9114,0
1314,64,9184,1
1298,70,9156,0
1303,65,9163,0
1297,60,9051,0
1315,77,9191,2
1305,62,9212,0
1323,69,9296,0
1311,49,9128,0
1289,63,9037,0
1279,73,9128,0
1310,52,9268,0
1289,55,9044,0
1287,68,9044,0
1300,67,9107,0
1311,58,9205,0
1308,67,9261,0
1301,67,9289,0
1283,56,9016,1
1284,58,9135,0
1315,70,9149,0
1300,74,9142,0
1302,63,9163,0
1272,54,8981,0
1301,70,9191,0
1298,63,9114,0
1297,69,9212,0
1319,45,9226,1
1294,75,9275,0
1287,64,9135,0
1295,59,9079,0
1296,60,9128,0
1298,67,9191,0
1310,62,9170,1
1293,67,9198,0
1304,62,9261,0
1302,60,9191,0
1274,56,9051,0
1325,64,9282,1
1282,71,9107,0
1317,68,9275,0
1328,50,9310,0
1314,64,9191,1
1303,55,9156,0
1290,55,9072,0
1296,52,9163,0
1316,60,9324,0
1296,61,9233,0
1311,76,9296,0
1292,67,9142,0
1287,60,9100,0
1282,59,9051,2
1307,54,9240,0
1325,51,9261,0
1290,62,9114,0
1295,66,9128,0
1302,53,9177,0
1302,63,9198,0
1298,60,9156,0
1301,51,9219,1
1302,51,9135,0
1293,48,9016,0
1291,54,9107,1
1314,54,9247,0
1276,62,8981,0
1322,74,9324,0
1345,60,9513,0
1304,70,9205,0
1306,61,9149,0
1290,62,9142,0
1310,61,9303,0
1286,56,9016,0
1303,78,9247,0
1265,70,8995,0
1295,59,9170,3
1280,65,9107,1
1291,61,9135,0
1306,81,9142,0
1279,69,9079,0
1294,56,9107,0
1320,58,9261,0
1285,62,9128,1
1290,78,9072,0
1272,68,9002,0
1306,53,9163,0
1347,74,9520,0
1280,62,9037,0
1296,62,9331,0
1309,74,9359,0
1296,66,9142,1
1298,65,9142,0
1285,48,9044,1
1321,71,9373,0
1305,60,9163,0
1302,57,9086,0
1279,66,9009,0
1308,66,9233,0
1269,71,9002,0
