recovery_query,ori_err_cof,check_query,recollect_query,err_cof,total_query
1297,6,256,68,2,1621
1314,7,256,68,2,1638
1310,3,256,32,1,1598
1327,6,256,72,0,1655
1272,5,256,48,0,1576
1305,7,256,74,2,1635
1299,6,256,76,3,1631
1305,5,256,65,1,1626
1334,6,256,62,0,1652
1312,8,256,73,1,1641
1293,2,256,33,0,1582
1294,6,256,82,1,1632
1311,4,256,48,0,1615
1308,9,256,100,2,1664
1317,5,256,60,1,1633
1314,6,256,66,0,1636
1318,7,256,77,2,1651
1313,8,256,92,1,1661
1307,2,256,46,0,1609
1315,10,256,111,2,1682
1332,7,256,79,1,1667
1291,5,256,60,0,1607
1323,7,256,95,0,1674
1315,4,256,40,0,1611
1318,9,256,100,0,1674
1306,4,256,63,1,1625
1320,4,256,54,0,1630
1330,7,256,77,3,1663
1306,3,256,37,1,1599
1283,13,256,135,0,1674
1345,8,256,82,0,1683
1284,5,256,50,0,1590
1309,4,256,52,0,1617
1322,10,256,115,1,1693
1323,9,256,112,0,1691
1317,4,256,41,1,1614
1318,8,256,90,0,1664
1289,6,256,83,0,1628
1318,6,256,70,0,1644
1313,8,256,103,2,1672
1313,5,256,74,0,1643
1343,9,256,95,0,1694
1323,6,256,46,1,1625
1323,6,256,73,0,1652
1302,9,256,103,1,1661
1296,9,256,101,0,1653
1317,8,256,82,1,1655
1329,1,256,25,0,1610
1349,6,256,66,1,1671
1332,9,256,116,0,1704
1326,5,256,70,0,1652
1314,3,256,32,0,1602
1333,10,256,111,2,1700
1320,7,256,99,1,1675
1318,14,256,153,1,1727
1309,4,256,40,0,1605
1311,6,256,90,0,1657
1324,9,256,82,0,1662
1296,6,256,70,1,1622
1298,3,256,49,1,1603
1323,9,256,108,0,1687
1295,5,256,64,1,1615
1304,13,256,155,1,1715
1331,10,256,143,1,1730
1291,7,256,81,1,1628
1264,4,256,45,1,1565
1301,7,256,75,1,1632
1315,6,256,93,0,1664
1314,7,256,77,0,1647
1336,8,256,86,1,1678
1315,3,256,30,0,1601
1333,5,256,64,1,1653
1330,3,256,43,0,1629
1302,2,256,25,0,1583
1306,4,256,50,1,1612
1303,7,256,104,0,1663
1299,4,256,66,0,1621
1317,9,256,98,1,1671
1298,9,256,101,0,1655
1326,10,256,122,1,1704
1323,10,256,120,1,1699
1310,4,256,51,0,1617
1317,7,256,95,0,1668
1298,6,256,60,0,1614
1303,7,256,74,1,1633
1303,5,256,91,0,1650
1323,7,256,72,0,1651
1322,9,256,96,1,1674
1271,7,256,66,0,1593
1317,5,256,66,1,1639
1316,10,256,115,0,1687
1321,5,256,73,2,1650
1325,6,256,93,2,1674
1323,5,256,57,0,1636
1320,6,256,70,1,1646
1310,3,256,32,0,1598
1312,5,256,57,0,1625
1322,6,256,104,1,1682
1320,12,256,116,1,1692
1280,3,256,53,0,1589
1313,5,256,51,0,1620
1295,5,256,91,0,1642
1317,5,256,49,2,1622
1277,7,256,101,0,1634
1321,4,256,59,0,1636
1312,3,256,43,1,1611
1353,4,256,63,0,1672
1321,7,256,99,0,1676
1333,6,256,90,0,1679
1299,9,256,109,0,1664
1299,5,256,75,0,1630
1308,7,256,80,1,1644
1326,4,256,62,0,1644
1317,7,256,110,1,1683
1320,5,256,52,0,1628
1299,6,256,96,0,1651
1311,9,256,107,1,1674
1306,5,256,51,0,1613
1307,7,256,66,1,1629
1294,7,256,70,0,1620
1313,6,256,74,0,1643
1314,11,256,130,1,1700
1323,10,256,122,0,1701
1302,7,256,81,0,1639
1294,7,256,68,1,1618
1304,4,256,50,0,1610
1324,6,256,92,0,1672
1287,6,256,93,0,1636
1293,6,256,58,0,1607
1298,8,256,94,1,1648
1312,2,256,22,0,1590
1320,4,256,51,0,1627
1323,10,256,119,0,1698
1287,4,256,40,0,1583
1300,8,256,89,0,1645
1307,4,256,66,0,1629
1302,6,256,63,0,1621
1312,5,256,68,0,1636
1284,4,256,52,1,1592
1311,9,256,90,1,1657
1297,11,256,147,0,1700
1313,8,256,83,1,1652
1319,6,256,75,1,1650
1326,6,256,84,0,1666
1300,8,256,105,0,1661
1299,10,256,138,1,1693
1302,3,256,33,0,1591
1311,8,256,100,2,1667
1312,6,256,60,0,1628
1315,12,256,106,0,1677
1319,9,256,69,1,1644
1314,4,256,49,2,1619
1294,5,256,53,0,1603
1323,5,256,54,0,1633
