recovery_query,err_without_check,check_query,recollect_query,err_with_check,total_query
1282,132,2390,4166,1,7838
1301,112,2318,3644,1,7263
1259,123,2392,4254,2,7905
--new--train--round--
1317,119,2466,4134,1,7917
1317,119,2466,4134,1,7917
1289,114,2414,4122,0,7825
1276,112,2392,4046,0,7714
1284,107,2458,3964,5,7706
1303,118,2372,4169,0,7844
1292,108,2334,3818,1,7444
1307,118,2398,4192,0,7897
1307,127,2434,4172,0,7913
1306,123,2462,4256,3,8024
1313,113,2396,4089,0,7798
1291,126,2406,4275,1,7972
1302,121,2418,4049,0,7769
1274,125,2430,4170,0,7874
1276,126,2396,4216,0,7888
1274,126,2470,4063,4,7807
1296,109,2408,4065,1,7769
1282,132,2406,4171,1,7859
1301,112,2328,3651,1,7280
1259,123,2422,4266,1,7947
--new--train--round--
1317,119,2472,4134,1,7923
1317,119,2472,4134,1,7923
1289,114,2424,4126,0,7839
1276,112,2396,4046,0,7718
1284,107,2480,3976,4,7740
1303,118,2376,4169,0,7848
1292,108,2338,3820,1,7450
1307,118,2412,4195,0,7914
1307,127,2448,4172,0,7927
1306,123,2476,4267,2,8049
1313,113,2404,4093,0,7810
1291,126,2418,4285,0,7994
1302,121,2426,4049,0,7777
1274,125,2446,4172,0,7892
1276,126,2406,4216,0,7898
1274,126,2484,4075,3,7833
1296,109,2412,4068,1,7776
1282,132,2416,4174,1,7872
1301,112,2334,3656,1,7291
1259,123,2436,4271,1,7966
--new--train--round--
1317,119,2476,4136,0,7929
1317,119,2476,4136,0,7929
1289,114,2428,4129,0,7846
1276,112,2396,4046,0,7718
1284,107,2492,3984,3,7760
1303,118,2378,4169,0,7850
1292,108,2342,3828,1,7462
1307,118,2416,4198,0,7921
1307,127,2458,4175,0,7940
1306,123,2484,4276,1,8066
1313,113,2408,4095,0,7816
1291,126,2422,4285,0,7998
1302,121,2430,4053,0,7785
1274,125,2454,4172,0,7900
1276,126,2414,4220,0,7910
1274,126,2496,4084,1,7854
1296,109,2414,4071,0,7781
1282,132,2420,4177,0,7879
1301,112,2336,3660,1,7297
1259,123,2444,4277,1,7980
--new--train--round--
1317,119,2480,4142,0,7939
1317,119,2480,4142,0,7939
1289,114,2432,4129,0,7850
1276,112,2396,4046,0,7718
1284,107,2504,3994,2,7782
1303,118,2380,4169,0,7852
1292,108,2346,3832,0,7470
1307,118,2418,4198,0,7923
1307,127,2468,4175,0,7950
1306,123,2492,4281,1,8079
1313,113,2412,4095,0,7820
1291,126,2426,4288,0,8005
1302,121,2434,4053,0,7789
1274,125,2462,4172,0,7908
1276,126,2422,4220,0,7918
1274,126,2508,4087,0,7869
1296,109,2416,4074,0,7786
1282,132,2424,4177,0,7883
1301,112,2338,3664,1,7303
1259,123,2452,4289,0,8000
--new--train--round--
1317,119,2482,4144,0,7943
1317,119,2482,4144,0,7943
1289,114,2434,4132,0,7855
1276,112,2396,4046,0,7718
1284,107,2514,3998,2,7796
1303,118,2382,4169,0,7854
1292,108,2348,3832,0,7472
1307,118,2418,4198,0,7923
1307,127,2474,4179,0,7960
1306,123,2500,4281,1,8087
