[trace 221]: recovering s[0][86], m = m1, branching...
[trace 222]: recovering s[0][86], m = m0, recovered cof_value = 0
[trace 223]: recovering s[0][87], m = m1, branching...
[trace 224]: recovering s[0][87], m = m0, recovered cof_value = 0
[trace 225]: recovering s[0][88], m = m0, branching...
[trace 226]: recovering s[0][88], m = m1, recovered cof_value = 1
[trace 227]: recovering s[0][89], m = m1, branching...
[trace 228]: recovering s[0][89], m = m1, branching...
[trace 229]: recovering s[0][89], m = m1, branching...
[trace 230]: recovering s[0][89], m = m0, recovered cof_value = -2
[trace 231]: recovering s[0][90], m = m0, branching...
[trace 232]: recovering s[0][90], m = m0, branching...
[trace 233]: recovering s[0][90], m = m1, recovered cof_value = 2
[trace 234]: recovering s[0][91], m = m0, branching...
[trace 235]: recovering s[0][91], m = m0, branching...
[trace 236]: recovering s[0][91], m = m1, recovered cof_value = 2
[trace 237]: recovering s[0][92], m = m0, branching...
[trace 238]: recovering s[0][92], m = m0, branching...
[trace 239]: recovering s[0][92], m = m0, recovered cof_value = 3
[trace 240]: recovering s[0][93], m = m1, branching...
[trace 241]: recovering s[0][93], m = m0, recovered cof_value = 0
[trace 242]: recovering s[0][94], m = m1, branching...
[trace 243]: recovering s[0][94], m = m1, branching...
[trace 244]: recovering s[0][94], m = m1, branching...
[trace 245]: recovering s[0][94], m = m0, recovered cof_value = -2
[trace 246]: recovering s[0][95], m = m1, branching...
[trace 247]: recovering s[0][95], m = m1, branching...
[trace 248]: recovering s[0][95], m = m0, recovered cof_value = -1
[trace 249]: recovering s[0][96], m = m1, branching...
[trace 250]: recovering s[0][96], m = m1, branching...
[trace 251]: recovering s[0][96], m = m1, branching...
[trace 252]: recovering s[0][96], m = m0, recovered cof_value = -2
[trace 253]: recovering s[0][97], m = m1, branching...
[trace 254]: recovering s[0][97], m = m1, branching...
[trace 255]: recovering s[0][97], m = m0, recovered cof_value = -1
[trace 256]: recovering s[0][98], m = m0, branching...
[trace 257]: recovering s[0][98], m = m0, branching...
[trace 258]: recovering s[0][98], m = m1, recovered cof_value = 2
[trace 259]: recovering s[0][99], m = m1, branching...
[trace 260]: recovering s[0][99], m = m0, recovered cof_value = 0
